title,date,url,author,section
“Não é não”: o Carnaval é a chance de mostrar que aprendemos algo,"
1 de março de 2019 ",https://www.cartacapital.com.br/sociedade/nao-e-nao-o-carnaval-e-a-chance-de-mostrar-que-aprendemos-algo/,Thaís Chaves,Sociedade
"“Reforma é tão ruim que não dá para remendar”, diz líder do PDT","
28 de março de 2019 ",https://www.cartacapital.com.br/politica/reforma-previdencia-andre-figueiredo-pdt-camara/,Thais Reis Oliveira,Política
 Jovens brasileiras são as que mais convivem com o medo de assédio,"
31 de janeiro de 2019 ",https://www.cartacapital.com.br/sociedade/jovens-brasileiras-sao-as-que-mais-convivem-com-o-medo-de-assedio/,Thais Reis Oliveira,Sociedade
 Oposição venezuelana apresenta a Bolsonaro plano para derrubar Maduro,"
18 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/oposicao-venezuelana-apresenta-a-bolsonaro-plano-para-derrubar-maduro/,Vinicius Segalla,Mundo
"Indicada por Vélez como número 2 do MEC, Iolene Lima é demitida","
22 de março de 2019 ",https://www.cartacapital.com.br/politica/indicada-por-velez-como-numero-2-do-mec-iolene-lima-e-demitida/,Redação,Política
Oposição se une para enterrar Previdência já nas primeiras discussões,"
26 de março de 2019 ",https://www.cartacapital.com.br/politica/oposicao-se-une-para-enterrar-previdencia-ja-nas-primeiras-discussoes/,Thais Reis Oliveira,Política
" Em nova posse, Maduro chama Bolsonaro de ‘fascista’","
10 de janeiro de 2019 ",https://www.cartacapital.com.br/mundo/em-nova-posse-maduro-chama-de-bolsonaro-de-fascista/,Deutsche Welle,Mundo
"Pela primeira vez em 22 anos, Enem terá “supervisão” do governo","
20 de março de 2019 ",https://www.cartacapital.com.br/politica/pela-primeira-vez-em-22-anos-enem-tera-supervisao-do-governo/,Redação,Política
" Em nove dias, governo Bolsonaro voltou atrás pelo menos sete vezes","
10 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/em-nove-dias-governo-bolsonaro-voltou-atras-pelo-menos-sete-vezes/,Thais Reis Oliveira,Política
Militar assume o cargo número 2 do Ministério da Educação,"
29 de março de 2019 ",https://www.cartacapital.com.br/politica/bolsonaro-nomeia-militar-para-cargo-de-numero-2-do-mec/,Redação,Política
" Rachada, a esquerda vive na Câmara o dilema entre resistir e se entregar","
19 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/rachada-a-esquerda-vive-na-camara-o-dilema-entre-resistir-e-se-entregar/,Fred Melo Paiva,Política
